행정구역,기간,인구수
부산광역시  (2600000000),2015년04월_계_총인구수,"3,515,439"
대구광역시  (2700000000),2015년04월_계_총인구수,"2,491,545"
인천광역시  (2800000000),2015년04월_계_총인구수,"2,910,307"
광주광역시  (2900000000),2015년04월_계_총인구수,"1,477,609"
대전광역시  (3000000000),2015년04월_계_총인구수,"1,527,314"
울산광역시  (3100000000),2015년04월_계_총인구수,"1,169,433"
세종특별자치시  (3600000000),2015년04월_계_총인구수,"178,656"
경기도  (4100000000),2015년04월_계_총인구수,"12,405,279"
강원도  (4200000000),2015년04월_계_총인구수,"1,543,811"
충청북도  (4300000000),2015년04월_계_총인구수,"1,579,291"
충청남도  (4400000000),2015년04월_계_총인구수,"2,065,609"
전라북도  (4500000000),2015년04월_계_총인구수,"1,869,900"
전라남도  (4600000000),2015년04월_계_총인구수,"1,902,212"
경상북도  (4700000000),2015년04월_계_총인구수,"2,696,837"
경상남도  (4800000000),2015년04월_계_총인구수,"3,354,602"
제주특별자치도  (5000000000),2015년04월_계_총인구수,"612,505"
전국  (0000000000),2015년04월_계_연령구간인구수,"51,395,238"
서울특별시  (1100000000),2015년04월_계_연령구간인구수,"10,094,889"
부산광역시  (2600000000),2015년04월_계_연령구간인구수,"3,515,439"
대구광역시  (2700000000),2015년04월_계_연령구간인구수,"2,491,545"
인천광역시  (2800000000),2015년04월_계_연령구간인구수,"2,910,307"
광주광역시  (2900000000),2015년04월_계_연령구간인구수,"1,477,609"
대전광역시  (3000000000),2015년04월_계_연령구간인구수,"1,527,314"
울산광역시  (3100000000),2015년04월_계_연령구간인구수,"1,169,433"
세종특별자치시  (3600000000),2015년04월_계_연령구간인구수,"178,656"
경기도  (4100000000),2015년04월_계_연령구간인구수,"12,405,279"
강원도  (4200000000),2015년04월_계_연령구간인구수,"1,543,811"
충청북도  (4300000000),2015년04월_계_연령구간인구수,"1,579,291"
충청남도  (4400000000),2015년04월_계_연령구간인구수,"2,065,609"
전라북도  (4500000000),2015년04월_계_연령구간인구수,"1,869,900"
전라남도  (4600000000),2015년04월_계_연령구간인구수,"1,902,212"
경상북도  (4700000000),2015년04월_계_연령구간인구수,"2,696,837"
경상남도  (4800000000),2015년04월_계_연령구간인구수,"3,354,602"
제주특별자치도  (5000000000),2015년04월_계_연령구간인구수,"612,505"
전국  (0000000000),2015년04월_계_0~9세,"4,590,307"
서울특별시  (1100000000),2015년04월_계_0~9세,"789,710"
부산광역시  (2600000000),2015년04월_계_0~9세,"264,572"
대구광역시  (2700000000),2015년04월_계_0~9세,"208,300"
인천광역시  (2800000000),2015년04월_계_0~9세,"270,568"
광주광역시  (2900000000),2015년04월_계_0~9세,"144,632"
대전광역시  (3000000000),2015년04월_계_0~9세,"147,150"
울산광역시  (3100000000),2015년04월_계_0~9세,"115,456"
세종특별자치시  (3600000000),2015년04월_계_0~9세,"23,985"
경기도  (4100000000),2015년04월_계_0~9세,"1,244,189"
강원도  (4200000000),2015년04월_계_0~9세,"123,825"
충청북도  (4300000000),2015년04월_계_0~9세,"142,151"
충청남도  (4400000000),2015년04월_계_0~9세,"196,353"
전라북도  (4500000000),2015년04월_계_0~9세,"160,634"
전라남도  (4600000000),2015년04월_계_0~9세,"157,124"
경상북도  (4700000000),2015년04월_계_0~9세,"222,610"
경상남도  (4800000000),2015년04월_계_0~9세,"316,841"
제주특별자치도  (5000000000),2015년04월_계_0~9세,"62,207"
전국  (0000000000),2015년04월_계_10~19세,"5,892,272"
서울특별시  (1100000000),2015년04월_계_10~19세,"1,025,089"
부산광역시  (2600000000),2015년04월_계_10~19세,"359,691"
대구광역시  (2700000000),2015년04월_계_10~19세,"300,895"
인천광역시  (2800000000),2015년04월_계_10~19세,"333,849"
광주광역시  (2900000000),2015년04월_계_10~19세,"204,010"
대전광역시  (3000000000),2015년04월_계_10~19세,"191,984"
울산광역시  (3100000000),2015년04월_계_10~19세,"144,816"
세종특별자치시  (3600000000),2015년04월_계_10~19세,"20,208"
경기도  (4100000000),2015년04월_계_10~19세,"1,513,962"
강원도  (4200000000),2015년04월_계_10~19세,"176,492"
충청북도  (4300000000),2015년04월_계_10~19세,"185,630"
충청남도  (4400000000),2015년04월_계_10~19세,"234,016"
전라북도  (4500000000),2015년04월_계_10~19세,"224,680"
전라남도  (4600000000),2015년04월_계_10~19세,"216,687"
경상북도  (4700000000),2015년04월_계_10~19세,"285,716"
경상남도  (4800000000),2015년04월_계_10~19세,"395,869"
제주특별자치도  (5000000000),2015년04월_계_10~19세,"78,678"
전국  (0000000000),2015년04월_계_20~29세,"6,651,898"
서울특별시  (1100000000),2015년04월_계_20~29세,"1,458,737"
부산광역시  (2600000000),2015년04월_계_20~29세,"455,460"
대구광역시  (2700000000),2015년04월_계_20~29세,"324,359"
인천광역시  (2800000000),2015년04월_계_20~29세,"399,644"
광주광역시  (2900000000),2015년04월_계_20~29세,"198,380"
대전광역시  (3000000000),2015년04월_계_20~29세,"210,556"
울산광역시  (3100000000),2015년04월_계_20~29세,"156,843"
세종특별자치시  (3600000000),2015년04월_계_20~29세,"19,433"
경기도  (4100000000),2015년04월_계_20~29세,"1,618,331"
강원도  (4200000000),2015년04월_계_20~29세,"181,762"
충청북도  (4300000000),2015년04월_계_20~29세,"194,128"
충청남도  (4400000000),2015년04월_계_20~29세,"241,357"
전라북도  (4500000000),2015년04월_계_20~29세,"217,018"
전라남도  (4600000000),2015년04월_계_20~29세,"202,732"
경상북도  (4700000000),2015년04월_계_20~29세,"310,115"
경상남도  (4800000000),2015년04월_계_20~29세,"391,623"
제주특별자치도  (5000000000),2015년04월_계_20~29세,"71,420"
전국  (0000000000),2015년04월_계_30~39세,"7,749,678"
서울특별시  (1100000000),2015년04월_계_30~39세,"1,699,024"
부산광역시  (2600000000),2015년04월_계_30~39세,"499,330"
대구광역시  (2700000000),2015년04월_계_30~39세,"348,920"
인천광역시  (2800000000),2015년04월_계_30~39세,"458,171"
광주광역시  (2900000000),2015년04월_계_30~39세,"226,129"
대전광역시  (3000000000),2015년04월_계_30~39세,"234,255"
울산광역시  (3100000000),2015년04월_계_30~39세,"181,932"
세종특별자치시  (3600000000),2015년04월_계_30~39세,"32,678"
경기도  (4100000000),2015년04월_계_30~39세,"1,977,194"
강원도  (4200000000),2015년04월_계_30~39세,"191,759"
충청북도  (4300000000),2015년04월_계_30~39세,"218,506"
충청남도  (4400000000),2015년04월_계_30~39세,"299,245"
전라북도  (4500000000),2015년04월_계_30~39세,"236,726"
전라남도  (4600000000),2015년04월_계_30~39세,"226,123"
경상북도  (4700000000),2015년04월_계_30~39세,"351,572"
경상남도  (4800000000),2015년04월_계_30~39세,"483,030"
제주특별자치도  (5000000000),2015년04월_계_30~39세,"85,084"
전국  (0000000000),2015년04월_계_40~49세,"8,916,704"
서울특별시  (1100000000),2015년04월_계_40~49세,"1,725,011"
부산광역시  (2600000000),2015년04월_계_40~49세,"574,156"
대구광역시  (2700000000),2015년04월_계_40~49세,"443,763"
인천광역시  (2800000000),2015년04월_계_40~49세,"519,671"
광주광역시  (2900000000),2015년04월_계_40~49세,"261,194"
대전광역시  (3000000000),2015년04월_계_40~49세,"269,740"
울산광역시  (3100000000),2015년04월_계_40~49세,"215,257"
세종특별자치시  (3600000000),2015년04월_계_40~49세,"31,404"
경기도  (4100000000),2015년04월_계_40~49세,"2,304,389"
강원도  (4200000000),2015년04월_계_40~49세,"251,906"
충청북도  (4300000000),2015년04월_계_40~49세,"264,313"
충청남도  (4400000000),2015년04월_계_40~49세,"332,489"
전라북도  (4500000000),2015년04월_계_40~49세,"302,812"
전라남도  (4600000000),2015년04월_계_40~49세,"295,488"
경상북도  (4700000000),2015년04월_계_40~49세,"432,250"
경상남도  (4800000000),2015년04월_계_40~49세,"583,563"
제주특별자치도  (5000000000),2015년04월_계_40~49세,"109,298"
전국  (0000000000),2015년04월_계_50~59세,"8,233,097"
서울특별시  (1100000000),2015년04월_계_50~59세,"1,595,639"
부산광역시  (2600000000),2015년04월_계_50~59세,"624,344"
대구광역시  (2700000000),2015년04월_계_50~59세,"416,260"
인천광역시  (2800000000),2015년04월_계_50~59세,"485,657"
광주광역시  (2900000000),2015년04월_계_50~59세,"213,575"
대전광역시  (3000000000),2015년04월_계_50~59세,"237,858"
울산광역시  (3100000000),2015년04월_계_50~59세,"197,678"
세종특별자치시  (3600000000),2015년04월_계_50~59세,"22,598"
경기도  (4100000000),2015년04월_계_50~59세,"1,914,399"
강원도  (4200000000),2015년04월_계_50~59세,"266,927"
충청북도  (4300000000),2015년04월_계_50~59세,"256,542"
충청남도  (4400000000),2015년04월_계_50~59세,"315,762"
전라북도  (4500000000),2015년04월_계_50~59세,"292,646"
전라남도  (4600000000),2015년04월_계_50~59세,"303,849"
경상북도  (4700000000),2015년04월_계_50~59세,"451,406"
경상남도  (4800000000),2015년04월_계_50~59세,"545,260"
제주특별자치도  (5000000000),2015년04월_계_50~59세,"92,697"
전국  (0000000000),2015년04월_계_60~69세,"4,854,260"
서울특별시  (1100000000),2015년04월_계_60~69세,"1,007,592"
부산광역시  (2600000000),2015년04월_계_60~69세,"413,738"
대구광역시  (2700000000),2015년04월_계_60~69세,"242,749"
인천광역시  (2800000000),2015년04월_계_60~69세,"242,578"
광주광역시  (2900000000),2015년04월_계_60~69세,"122,887"
대전광역시  (3000000000),2015년04월_계_60~69세,"128,535"
울산광역시  (3100000000),2015년04월_계_60~69세,"94,495"
세종특별자치시  (3600000000),2015년04월_계_60~69세,"13,496"
경기도  (4100000000),2015년04월_계_60~69세,"972,889"
강원도  (4200000000),2015년04월_계_60~69세,"164,950"
충청북도  (4300000000),2015년04월_계_60~69세,"151,163"
충청남도  (4400000000),2015년04월_계_60~69세,"202,845"
전라북도  (4500000000),2015년04월_계_60~69세,"203,211"
전라남도  (4600000000),2015년04월_계_60~69세,"217,945"
경상북도  (4700000000),2015년04월_계_60~69세,"300,470"
경상남도  (4800000000),2015년04월_계_60~69세,"319,843"
제주특별자치도  (5000000000),2015년04월_계_60~69세,"54,874"
전국  (0000000000),2015년04월_계_70~79세,"3,166,434"
서울특별시  (1100000000),2015년04월_계_70~79세,"576,566"
부산광역시  (2600000000),2015년04월_계_70~79세,"238,356"
대구광역시  (2700000000),2015년04월_계_70~79세,"149,439"
인천광역시  (2800000000),2015년04월_계_70~79세,"140,225"
광주광역시  (2900000000),2015년04월_계_70~79세,"75,662"
대전광역시  (3000000000),2015년04월_계_70~79세,"75,562"
울산광역시  (3100000000),2015년04월_계_70~79세,"45,489"
세종특별자치시  (3600000000),2015년04월_계_70~79세,"9,903"
경기도  (4100000000),2015년04월_계_70~79세,"606,707"
강원도  (4200000000),2015년04월_계_70~79세,"131,061"
충청북도  (4300000000),2015년04월_계_70~79세,"115,343"
충청남도  (4400000000),2015년04월_계_70~79세,"162,798"
전라북도  (4500000000),2015년04월_계_70~79세,"156,306"
전라남도  (4600000000),2015년04월_계_70~79세,"191,459"
경상북도  (4700000000),2015년04월_계_70~79세,"233,967"
경상남도  (4800000000),2015년04월_계_70~79세,"218,893"
제주특별자치도  (5000000000),2015년04월_계_70~79세,"38,698"
전국  (0000000000),2015년04월_계_80~89세,"1,165,279"
서울특별시  (1100000000),2015년04월_계_80~89세,"183,686"
부산광역시  (2600000000),2015년04월_계_80~89세,"75,280"
대구광역시  (2700000000),2015년04월_계_80~89세,"50,555"
인천광역시  (2800000000),2015년04월_계_80~89세,"51,593"
광주광역시  (2900000000),2015년04월_계_80~89세,"27,100"
대전광역시  (3000000000),2015년04월_계_80~89세,"27,655"
울산광역시  (3100000000),2015년04월_계_80~89세,"15,360"
세종특별자치시  (3600000000),2015년04월_계_80~89세,"4,332"
경기도  (4100000000),2015년04월_계_80~89세,"218,929"
강원도  (4200000000),2015년04월_계_80~89세,"47,311"
충청북도  (4300000000),2015년04월_계_80~89세,"45,376"
충청남도  (4400000000),2015년04월_계_80~89세,"71,038"
전라북도  (4500000000),2015년04월_계_80~89세,"66,688"
전라남도  (4600000000),2015년04월_계_80~89세,"79,361"
경상북도  (4700000000),2015년04월_계_80~89세,"95,897"
경상남도  (4800000000),2015년04월_계_80~89세,"88,876"
제주특별자치도  (5000000000),2015년04월_계_80~89세,"16,242"
전국  (0000000000),2015년04월_계_90~99세,"159,850"
서울특별시  (1100000000),2015년04월_계_90~99세,"28,995"
부산광역시  (2600000000),2015년04월_계_90~99세,"9,072"
대구광역시  (2700000000),2015년04월_계_90~99세,"5,786"
인천광역시  (2800000000),2015년04월_계_90~99세,"7,693"
광주광역시  (2900000000),2015년04월_계_90~99세,"3,729"
대전광역시  (3000000000),2015년04월_계_90~99세,"3,756"
울산광역시  (3100000000),2015년04월_계_90~99세,"1,978"
세종특별자치시  (3600000000),2015년04월_계_90~99세,587
경기도  (4100000000),2015년04월_계_90~99세,"31,434"
강원도  (4200000000),2015년04월_계_90~99세,"7,241"
충청북도  (4300000000),2015년04월_계_90~99세,"5,734"
충청남도  (4400000000),2015년04월_계_90~99세,"9,077"
전라북도  (4500000000),2015년04월_계_90~99세,"8,568"
전라남도  (4600000000),2015년04월_계_90~99세,"10,720"
경상북도  (4700000000),2015년04월_계_90~99세,"12,127"
경상남도  (4800000000),2015년04월_계_90~99세,"10,251"
제주특별자치도  (5000000000),2015년04월_계_90~99세,"3,102"
전국  (0000000000),2015년04월_계_100세 이상,"15,459"
서울특별시  (1100000000),2015년04월_계_100세 이상,"4,840"
부산광역시  (2600000000),2015년04월_계_100세 이상,"1,440"
대구광역시  (2700000000),2015년04월_계_100세 이상,519
인천광역시  (2800000000),2015년04월_계_100세 이상,658
광주광역시  (2900000000),2015년04월_계_100세 이상,311
대전광역시  (3000000000),2015년04월_계_100세 이상,263
울산광역시  (3100000000),2015년04월_계_100세 이상,129
세종특별자치시  (3600000000),2015년04월_계_100세 이상,32
경기도  (4100000000),2015년04월_계_100세 이상,"2,856"
강원도  (4200000000),2015년04월_계_100세 이상,577
충청북도  (4300000000),2015년04월_계_100세 이상,405
충청남도  (4400000000),2015년04월_계_100세 이상,629
전라북도  (4500000000),2015년04월_계_100세 이상,611
전라남도  (4600000000),2015년04월_계_100세 이상,724
경상북도  (4700000000),2015년04월_계_100세 이상,707
경상남도  (4800000000),2015년04월_계_100세 이상,553
제주특별자치도  (5000000000),2015년04월_계_100세 이상,205
전국  (0000000000),2015년05월_계_총인구수,"51,413,925"
서울특별시  (1100000000),2015년05월_계_총인구수,"10,088,393"
부산광역시  (2600000000),2015년05월_계_총인구수,"3,515,806"
대구광역시  (2700000000),2015년05월_계_총인구수,"2,491,867"
인천광역시  (2800000000),2015년05월_계_총인구수,"2,912,114"
광주광역시  (2900000000),2015년05월_계_총인구수,"1,477,212"
대전광역시  (3000000000),2015년05월_계_총인구수,"1,526,568"
울산광역시  (3100000000),2015년05월_계_총인구수,"1,169,658"
세종특별자치시  (3600000000),2015년05월_계_총인구수,"182,028"
경기도  (4100000000),2015년05월_계_총인구수,"12,418,899"
강원도  (4200000000),2015년05월_계_총인구수,"1,545,194"
충청북도  (4300000000),2015년05월_계_총인구수,"1,580,042"
충청남도  (4400000000),2015년05월_계_총인구수,"2,067,096"
전라북도  (4500000000),2015년05월_계_총인구수,"1,869,965"
전라남도  (4600000000),2015년05월_계_총인구수,"1,902,383"
경상북도  (4700000000),2015년05월_계_총인구수,"2,696,674"
경상남도  (4800000000),2015년05월_계_총인구수,"3,356,168"
제주특별자치도  (5000000000),2015년05월_계_총인구수,"613,858"
전국  (0000000000),2015년05월_계_연령구간인구수,"51,413,925"
서울특별시  (1100000000),2015년05월_계_연령구간인구수,"10,088,393"
부산광역시  (2600000000),2015년05월_계_연령구간인구수,"3,515,806"
대구광역시  (2700000000),2015년05월_계_연령구간인구수,"2,491,867"
인천광역시  (2800000000),2015년05월_계_연령구간인구수,"2,912,114"
광주광역시  (2900000000),2015년05월_계_연령구간인구수,"1,477,212"
대전광역시  (3000000000),2015년05월_계_연령구간인구수,"1,526,568"
울산광역시  (3100000000),2015년05월_계_연령구간인구수,"1,169,658"
세종특별자치시  (3600000000),2015년05월_계_연령구간인구수,"182,028"
경기도  (4100000000),2015년05월_계_연령구간인구수,"12,418,899"
강원도  (4200000000),2015년05월_계_연령구간인구수,"1,545,194"
충청북도  (4300000000),2015년05월_계_연령구간인구수,"1,580,042"
충청남도  (4400000000),2015년05월_계_연령구간인구수,"2,067,096"
전라북도  (4500000000),2015년05월_계_연령구간인구수,"1,869,965"
전라남도  (4600000000),2015년05월_계_연령구간인구수,"1,902,383"
경상북도  (4700000000),2015년05월_계_연령구간인구수,"2,696,674"
경상남도  (4800000000),2015년05월_계_연령구간인구수,"3,356,168"
제주특별자치도  (5000000000),2015년05월_계_연령구간인구수,"613,858"
전국  (0000000000),2015년05월_계_0~9세,"4,592,030"
서울특별시  (1100000000),2015년05월_계_0~9세,"789,527"
부산광역시  (2600000000),2015년05월_계_0~9세,"264,995"
대구광역시  (2700000000),2015년05월_계_0~9세,"208,339"
인천광역시  (2800000000),2015년05월_계_0~9세,"270,757"
광주광역시  (2900000000),2015년05월_계_0~9세,"144,428"
대전광역시  (3000000000),2015년05월_계_0~9세,"146,872"
울산광역시  (3100000000),2015년05월_계_0~9세,"115,600"
세종특별자치시  (3600000000),2015년05월_계_0~9세,"24,552"
경기도  (4100000000),2015년05월_계_0~9세,"1,244,594"
강원도  (4200000000),2015년05월_계_0~9세,"123,775"
충청북도  (4300000000),2015년05월_계_0~9세,"142,162"
충청남도  (4400000000),2015년05월_계_0~9세,"196,507"
전라북도  (4500000000),2015년05월_계_0~9세,"160,609"
전라남도  (4600000000),2015년05월_계_0~9세,"157,338"
경상북도  (4700000000),2015년05월_계_0~9세,"222,582"
경상남도  (4800000000),2015년05월_계_0~9세,"317,119"
제주특별자치도  (5000000000),2015년05월_계_0~9세,"62,274"
전국  (0000000000),2015년05월_계_10~19세,"5,873,107"
서울특별시  (1100000000),2015년05월_계_10~19세,"1,020,224"
부산광역시  (2600000000),2015년05월_계_10~19세,"358,082"
대구광역시  (2700000000),2015년05월_계_10~19세,"299,731"
인천광역시  (2800000000),2015년05월_계_10~19세,"332,703"
광주광역시  (2900000000),2015년05월_계_10~19세,"203,167"
대전광역시  (3000000000),2015년05월_계_10~19세,"191,386"
울산광역시  (3100000000),2015년05월_계_10~19세,"144,153"
세종특별자치시  (3600000000),2015년05월_계_10~19세,"20,526"
경기도  (4100000000),2015년05월_계_10~19세,"1,511,157"
강원도  (4200000000),2015년05월_계_10~19세,"175,955"
충청북도  (4300000000),2015년05월_계_10~19세,"184,961"
충청남도  (4400000000),2015년05월_계_10~19세,"233,557"
전라북도  (4500000000),2015년05월_계_10~19세,"223,827"
전라남도  (4600000000),2015년05월_계_10~19세,"215,823"
경상북도  (4700000000),2015년05월_계_10~19세,"284,754"
경상남도  (4800000000),2015년05월_계_10~19세,"394,583"
제주특별자치도  (5000000000),2015년05월_계_10~19세,"78,518"
전국  (0000000000),2015년05월_계_20~29세,"6,659,829"
서울특별시  (1100000000),2015년05월_계_20~29세,"1,458,164"
부산광역시  (2600000000),2015년05월_계_20~29세,"455,864"
대구광역시  (2700000000),2015년05월_계_20~29세,"324,930"
인천광역시  (2800000000),2015년05월_계_20~29세,"399,897"
광주광역시  (2900000000),2015년05월_계_20~29세,"198,737"
대전광역시  (3000000000),2015년05월_계_20~29세,"210,736"
울산광역시  (3100000000),2015년05월_계_20~29세,"157,132"
세종특별자치시  (3600000000),2015년05월_계_20~29세,"19,809"
경기도  (4100000000),2015년05월_계_20~29세,"1,621,538"
강원도  (4200000000),2015년05월_계_20~29세,"182,493"
충청북도  (4300000000),2015년05월_계_20~29세,"194,521"
충청남도  (4400000000),2015년05월_계_20~29세,"241,684"
전라북도  (4500000000),2015년05월_계_20~29세,"217,227"
전라남도  (4600000000),2015년05월_계_20~29세,"202,901"
경상북도  (4700000000),2015년05월_계_20~29세,"310,081"
경상남도  (4800000000),2015년05월_계_20~29세,"392,375"
제주특별자치도  (5000000000),2015년05월_계_20~29세,"71,740"
전국  (0000000000),2015년05월_계_30~39세,"7,734,988"
서울특별시  (1100000000),2015년05월_계_30~39세,"1,694,802"
부산광역시  (2600000000),2015년05월_계_30~39세,"498,488"
대구광역시  (2700000000),2015년05월_계_30~39세,"348,264"
인천광역시  (2800000000),2015년05월_계_30~39세,"457,648"
광주광역시  (2900000000),2015년05월_계_30~39세,"225,388"
대전광역시  (3000000000),2015년05월_계_30~39세,"233,511"
울산광역시  (3100000000),2015년05월_계_30~39세,"181,542"
세종특별자치시  (3600000000),2015년05월_계_30~39세,"33,358"
경기도  (4100000000),2015년05월_계_30~39세,"1,974,358"
강원도  (4200000000),2015년05월_계_30~39세,"191,442"
충청북도  (4300000000),2015년05월_계_30~39세,"218,249"
충청남도  (4400000000),2015년05월_계_30~39세,"298,658"
전라북도  (4500000000),2015년05월_계_30~39세,"236,142"
전라남도  (4600000000),2015년05월_계_30~39세,"225,653"
경상북도  (4700000000),2015년05월_계_30~39세,"350,559"
경상남도  (4800000000),2015년05월_계_30~39세,"481,828"
제주특별자치도  (5000000000),2015년05월_계_30~39세,"85,098"
전국  (0000000000),2015년05월_계_40~49세,"8,909,897"
서울특별시  (1100000000),2015년05월_계_40~49세,"1,722,679"
부산광역시  (2600000000),2015년05월_계_40~49세,"573,713"
대구광역시  (2700000000),2015년05월_계_40~49세,"443,104"
인천광역시  (2800000000),2015년05월_계_40~49세,"519,165"
광주광역시  (2900000000),2015년05월_계_40~49세,"260,987"
대전광역시  (3000000000),2015년05월_계_40~49세,"269,159"
울산광역시  (3100000000),2015년05월_계_40~49세,"214,846"
세종특별자치시  (3600000000),2015년05월_계_40~49세,"32,026"
경기도  (4100000000),2015년05월_계_40~49세,"2,304,175"
강원도  (4200000000),2015년05월_계_40~49세,"251,887"
충청북도  (4300000000),2015년05월_계_40~49세,"263,910"
충청남도  (4400000000),2015년05월_계_40~49세,"332,156"
전라북도  (4500000000),2015년05월_계_40~49세,"302,492"
전라남도  (4600000000),2015년05월_계_40~49세,"295,098"
경상북도  (4700000000),2015년05월_계_40~49세,"431,646"
경상남도  (4800000000),2015년05월_계_40~49세,"583,304"
제주특별자치도  (5000000000),2015년05월_계_40~49세,"109,550"
전국  (0000000000),2015년05월_계_50~59세,"8,242,440"
서울특별시  (1100000000),2015년05월_계_50~59세,"1,594,761"
부산광역시  (2600000000),2015년05월_계_50~59세,"623,590"
대구광역시  (2700000000),2015년05월_계_50~59세,"416,503"
인천광역시  (2800000000),2015년05월_계_50~59세,"486,750"
광주광역시  (2900000000),2015년05월_계_50~59세,"213,920"
대전광역시  (3000000000),2015년05월_계_50~59세,"237,998"
울산광역시  (3100000000),2015년05월_계_50~59세,"198,000"
세종특별자치시  (3600000000),2015년05월_계_50~59세,"23,038"
경기도  (4100000000),2015년05월_계_50~59세,"1,919,596"
강원도  (4200000000),2015년05월_계_50~59세,"267,275"
충청북도  (4300000000),2015년05월_계_50~59세,"256,971"
충청남도  (4400000000),2015년05월_계_50~59세,"316,390"
전라북도  (4500000000),2015년05월_계_50~59세,"292,844"
전라남도  (4600000000),2015년05월_계_50~59세,"304,175"
경상북도  (4700000000),2015년05월_계_50~59세,"451,853"
경상남도  (4800000000),2015년05월_계_50~59세,"545,821"
제주특별자치도  (5000000000),2015년05월_계_50~59세,"92,955"
전국  (0000000000),2015년05월_계_60~69세,"4,875,953"
서울특별시  (1100000000),2015년05월_계_60~69세,"1,010,585"
부산광역시  (2600000000),2015년05월_계_60~69세,"415,586"
대구광역시  (2700000000),2015년05월_계_60~69세,"243,998"
인천광역시  (2800000000),2015년05월_계_60~69세,"243,920"
광주광역시  (2900000000),2015년05월_계_60~69세,"123,192"
대전광역시  (3000000000),2015년05월_계_60~69세,"129,182"
울산광역시  (3100000000),2015년05월_계_60~69세,"95,152"
세종특별자치시  (3600000000),2015년05월_계_60~69세,"13,727"
경기도  (4100000000),2015년05월_계_60~69세,"978,930"
강원도  (4200000000),2015년05월_계_60~69세,"165,405"
충청북도  (4300000000),2015년05월_계_60~69세,"151,764"
충청남도  (4400000000),2015년05월_계_60~69세,"203,914"
전라북도  (4500000000),2015년05월_계_60~69세,"203,965"
전라남도  (4600000000),2015년05월_계_60~69세,"218,168"
경상북도  (4700000000),2015년05월_계_60~69세,"301,727"
경상남도  (4800000000),2015년05월_계_60~69세,"321,553"
제주특별자치도  (5000000000),2015년05월_계_60~69세,"55,185"
전국  (0000000000),2015년05월_계_70~79세,"3,176,708"
서울특별시  (1100000000),2015년05월_계_70~79세,"579,043"
부산광역시  (2600000000),2015년05월_계_70~79세,"239,179"
대구광역시  (2700000000),2015년05월_계_70~79세,"149,748"
인천광역시  (2800000000),2015년05월_계_70~79세,"140,872"
광주광역시  (2900000000),2015년05월_계_70~79세,"75,986"
대전광역시  (3000000000),2015년05월_계_70~79세,"75,880"
울산광역시  (3100000000),2015년05월_계_70~79세,"45,686"
세종특별자치시  (3600000000),2015년05월_계_70~79세,"9,983"
경기도  (4100000000),2015년05월_계_70~79세,"609,501"
강원도  (4200000000),2015년05월_계_70~79세,"131,573"
충청북도  (4300000000),2015년05월_계_70~79세,"115,614"
충청남도  (4400000000),2015년05월_계_70~79세,"162,911"
전라북도  (4500000000),2015년05월_계_70~79세,"156,448"
전라남도  (4600000000),2015년05월_계_70~79세,"191,935"
경상북도  (4700000000),2015년05월_계_70~79세,"234,125"
경상남도  (4800000000),2015년05월_계_70~79세,"219,332"
제주특별자치도  (5000000000),2015년05월_계_70~79세,"38,892"
전국  (0000000000),2015년05월_계_80~89세,"1,172,840"
서울특별시  (1100000000),2015년05월_계_80~89세,"184,647"
부산광역시  (2600000000),2015년05월_계_80~89세,"75,726"
대구광역시  (2700000000),2015년05월_계_80~89세,"50,929"
인천광역시  (2800000000),2015년05월_계_80~89세,"52,023"
광주광역시  (2900000000),2015년05월_계_80~89세,"27,359"
대전광역시  (3000000000),2015년05월_계_80~89세,"27,806"
울산광역시  (3100000000),2015년05월_계_80~89세,"15,431"
세종특별자치시  (3600000000),2015년05월_계_80~89세,"4,386"
경기도  (4100000000),2015년05월_계_80~89세,"220,585"
강원도  (4200000000),2015년05월_계_80~89세,"47,542"
충청북도  (4300000000),2015년05월_계_80~89세,"45,705"
충청남도  (4400000000),2015년05월_계_80~89세,"71,570"
전라북도  (4500000000),2015년05월_계_80~89세,"67,184"
전라남도  (4600000000),2015년05월_계_80~89세,"79,841"
경상북도  (4700000000),2015년05월_계_80~89세,"96,450"
경상남도  (4800000000),2015년05월_계_80~89세,"89,333"
제주특별자치도  (5000000000),2015년05월_계_80~89세,"16,323"
전국  (0000000000),2015년05월_계_90~99세,"160,563"
서울특별시  (1100000000),2015년05월_계_90~99세,"29,085"
부산광역시  (2600000000),2015년05월_계_90~99세,"9,147"
대구광역시  (2700000000),2015년05월_계_90~99세,"5,803"
인천광역시  (2800000000),2015년05월_계_90~99세,"7,717"
광주광역시  (2900000000),2015년05월_계_90~99세,"3,733"
대전광역시  (3000000000),2015년05월_계_90~99세,"3,776"
울산광역시  (3100000000),2015년05월_계_90~99세,"1,983"
세종특별자치시  (3600000000),2015년05월_계_90~99세,591
경기도  (4100000000),2015년05월_계_90~99세,"31,594"
강원도  (4200000000),2015년05월_계_90~99세,"7,267"
충청북도  (4300000000),2015년05월_계_90~99세,"5,774"
충청남도  (4400000000),2015년05월_계_90~99세,"9,111"
전라북도  (4500000000),2015년05월_계_90~99세,"8,608"
전라남도  (4600000000),2015년05월_계_90~99세,"10,719"
경상북도  (4700000000),2015년05월_계_90~99세,"12,180"
경상남도  (4800000000),2015년05월_계_90~99세,"10,363"
제주특별자치도  (5000000000),2015년05월_계_90~99세,"3,112"
전국  (0000000000),2015년05월_계_100세 이상,"15,570"
